license_type,APPLICATION_CLASSIFICATION,APPROVED_LICENSE_TYPE,Approved_License_Stages,commence_operations_date,application_status,lic_status,license_number,business_name,establishment_city,establishment_state,establishment_zipcode,latitude,longitude,business_address_1,business_address_2,business_city,business_state,business_zipcode,geocoded_county,geocoded_address,mailing_address_1,mailing_address_2,mailing_city,mailing_state,mailing_zipcode,EIN_TIN,APPLICATION_NUMBER,ORIGINAL_SUBMITTED_DATE,SUBMITTED_DATE,FIRST_COMPLIANCE_REVIEW_DATE,LIC_FEE_PAYMENT_SUBMITTED_DATE,PRIORITY,FEE_WAIVER_REQUEST,FEE_WAIVER_EE_OR_SE_NUMBER,APPROVED_SOCIAL_EQUITY,EE_PRIORITY_STATUS,EE_PRIORITY_NUMBER_FROM_ACCOUNT,EE_PRIORITY_NUMBER_FROM_APPLICATION,RMD_PRIORITY_STATUS,RMD_PRIORITY_NUMBER_FROM_ACCOUNT,RMD_PRIORITY_NUMBER_FROM_APPLICATION,dbe,cultivation_environment,cultivation_tier,CNB_INITIAL_DATE_OF_REVIEW,CNB_DATE_NOTICE_SENT_TO_MUNICIPALITY,CNB_60_DAY_MUNICIPAL_DEADLINE_DATE,CNB_90_DAY_REVIEW_DEADLINE_DATE,CNB_DATE_BACKGROUND_AUTHORIZATION_SENT,CNB_DATE_BACKGROUND_REPORT_RECEIVED,CNB_FINGER_PRINT_RESULTS_RECEIVED_DATE,CNB_FINAL_APPLICATION_REVIEW,CNB_APPLICATION_RECOMMENDATION,CNB_FINAL_INSPECTION_RESULT,CNB_FINAL_LICENSE_RECOMMENDATION,cnb_dt_of_final_licensure,APPLICATION_CREATED_DATE,CNB_DEEMED_COMPLETE_DATE,APPLICATION_APPROVED_DATE,LIC_START_DATE,LIC_EXPIRATION_DATE,APPLICATION_DENIED_DATE,CCCUpdateDate,ESTABLISHMENT_ADDRESS,ESTABLISHMENT_ADDRESS_2,ESTABLISHMENT_COUNTY,PMT_AMOUNT,LIC_FEE_AMOUNT,ZIP,Town,county,county_lat,county_long,Region,ID
Marijuana Product Manufacturer,General Applicant,COMMENCE OPS,COMMENCE OPS,10/25/21,APPROVED,COMPLETE,MP281663,Ocean Breeze Cultivators LLC,Gloucester,MA,1930,42.625767,-70.657104,11 Dory Road,,Gloucester,MA,1930,POINT (-70.970827 42.635475),POINT (-70.657104 42.6257670),34 Winthrop Avenue,,Gloucester,MA,1930,83-3036787,MPN281663,Fri May 10 2019 16:06:04 GMT-0400 (Eastern Daylight Time),Tue Mar 03 2020 12:55:24 GMT-0500 (Eastern Standard Time),Wed Nov 06 2019 00:00:00 GMT-0500 (Eastern Standard Time),,,,,,,,,,,,Not a DBE,,,,,,,,,,,,,,Thu Jan 14 2021 03:00:00 GMT-0500 (Eastern Standard Time),Thu May 09 2019 09:03:38 GMT-0400 (Eastern Daylight Time),Thu Mar 05 2020 00:00:00 GMT-0500 (Eastern Standard Time),Fri May 08 2020 14:24:11 GMT-0400 (Eastern Daylight Time),Thu Jun 09 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Sat Jun 10 2023 04:00:00 GMT-0400 (Eastern Daylight Time),,2/21/23,11 Dory Rd,N/A,Essex County,300,10000,1930,Gloucester,Essex,42.635475,-70.970827,Northeast,357
Marijuana Cultivator,Priority Review - MTC Priority,COMMENCE OPS,COMMENCE OPS,9/30/20,APPROVED,COMPLETE,MC282121,"HVV Masschusetts, Inc",Gloucester,MA,1930,42.62594,-70.652445,38 Great Republic Drive,,Gloucester,MA,1930,POINT (-70.970827 42.635475),POINT (-70.652445 42.62594),39 Country Club Way,,Ipswich,MA,1938,82-4495668,MCN282121,Thu May 02 2019 11:40:02 GMT-0400 (Eastern Daylight Time),Fri May 24 2019 16:57:13 GMT-0400 (Eastern Daylight Time),Mon May 06 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Tue Sep 24 2019 10:49:09 GMT-0400 (Eastern Daylight Time),TRUE,,,,,,,,,RP201813,Not a DBE,Indoor,"Tier 03: 10,001 to 20,000 sq. ft",,,,,,,,,,,,Thu Apr 09 2020 04:00:00 GMT-0400 (Eastern Daylight Time),Tue Apr 30 2019 15:31:27 GMT-0400 (Eastern Daylight Time),Fri Jun 07 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Fri Sep 13 2019 11:35:04 GMT-0400 (Eastern Daylight Time),Thu Aug 11 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Mon Sep 25 2023 04:00:00 GMT-0400 (Eastern Daylight Time),,2/21/23,39 Great Republic Dr,N/A,Essex County,600,5000,1930,Gloucester,Essex,42.635475,-70.970827,Northeast,357
Marijuana Retailer,General Applicant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,APPROVED,COMPLETE,MR282315,Fresh Fields Gloucester LLC,Gloucester,MA,1930,42.612063,-70.681096,"1700 Shawsheen St, 2nd Floor",,Tewksbury,MA,1876,POINT (-70.970827 42.635475),POINT (-70.681095 42.6120629),"1700 Shawsheen St, 2nd Floor",,Tewksbury,MA,1876,83-4382416,MRN282315,Wed Aug 28 2019 15:39:22 GMT-0400 (Eastern Daylight Time),Thu Jun 18 2020 14:32:22 GMT-0400 (Eastern Daylight Time),Mon Feb 10 2020 00:00:00 GMT-0500 (Eastern Standard Time),Tue Dec 29 2020 17:06:45 GMT-0500 (Eastern Standard Time),,no,,,,,,,,,Not a DBE,,,,,,,,,,,,,,,Mon Jan 21 2019 12:55:15 GMT-0500 (Eastern Standard Time),Fri Jun 26 2020 12:31:04 GMT-0400 (Eastern Daylight Time),Thu Sep 10 2020 13:07:33 GMT-0400 (Eastern Daylight Time),Thu Dec 08 2022 03:00:00 GMT-0500 (Eastern Standard Time),Fri Dec 29 2023 03:00:00 GMT-0500 (Eastern Standard Time),,2/21/23,73 Essex Ave,N/A,Essex County,300,10000,1930,Gloucester,Essex,42.635475,-70.970827,Northeast,357
Marijuana Product Manufacturer,Priority Review - MTC Priority,COMMENCE OPS,COMMENCE OPS,9/30/20,APPROVED,COMPLETE,MP281657,"HVV Massachusetts, Inc",Gloucester,MA,1930,42.628545,-70.645381,38 Great Republic Drive,,Gloucester,MA,1930,POINT (-70.970827 42.635475),POINT (-70.645381 42.6285450),39 Country Club Way,,Ipswich,MA,1938,82-4995668,MPN281657,Thu May 02 2019 11:46:46 GMT-0400 (Eastern Daylight Time),Fri May 24 2019 17:10:48 GMT-0400 (Eastern Daylight Time),Mon May 06 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Wed Sep 25 2019 16:05:53 GMT-0400 (Eastern Daylight Time),TRUE,,,,,,,,,RP201813,Not a DBE,,,,,,,,,,,,,,Thu Apr 09 2020 04:00:00 GMT-0400 (Eastern Daylight Time),Tue Apr 30 2019 18:04:40 GMT-0400 (Eastern Daylight Time),Fri Jun 07 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Fri Sep 13 2019 11:36:23 GMT-0400 (Eastern Daylight Time),Thu Aug 11 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Sun Oct 01 2023 04:00:00 GMT-0400 (Eastern Daylight Time),,2/21/23,38 Great Republic Dr,N/A,Essex County,300,5000,1930,Gloucester,Essex,42.635475,-70.970827,Northeast,357
Marijuana Retailer,Expedited Review - DBE Status,PROVISIONAL CONSIDERATION,PROVISIONAL CONSIDERATION,,APPROVED,PAYMENT_PENDING,MR284552,"Seven Leaf Sisters, Inc.",Marblehead,MA,1945,42.482958,-70.875876,37 Gregory Street,,Marblehead,MA,1945,POINT (-70.970827 42.635475),POINT (-70.875876 42.4829579),385 Atlantic Avenue,,Marblehead,MA,1945,85-2459041,MRN284552,Thu Jan 06 2022 11:19:52 GMT-0500 (Eastern Standard Time),Tue Feb 15 2022 13:29:50 GMT-0500 (Eastern Standard Time),Thu Jan 13 2022 11:37:31 GMT-0500 (Eastern Standard Time),,,no,,,,,,,,,Woman-Owned Business,,,,,,,,,,,,,,,Tue Jan 04 2022 16:20:59 GMT-0500 (Eastern Standard Time),Fri Feb 18 2022 11:50:47 GMT-0500 (Eastern Standard Time),Thu May 12 2022 14:09:11 GMT-0400 (Eastern Daylight Time),,,,2/21/23,385 Atlantic Ave,N/A,Essex County,1500,,1945,Marblehead,Essex,42.635475,-70.970827,Northeast,364
Marijuana Product Manufacturer,Expedited Review - DBE Status,PROVISIONAL CONSIDERATION,PROVISIONAL CONSIDERATION,,APPROVED,PAYMENT_PENDING,MP282166,"Seven Leaf Sisters, Inc.",Marblehead,MA,1945,42.482958,-70.875876,37 Gregory Street,,Marblehead,MA,1945,POINT (-70.970827 42.635475),POINT (-70.875876 42.4829579),385 Atlantic Avenue,,Marblehead,MA,1945,85-2459041,MPN282166,Thu Jan 06 2022 11:15:29 GMT-0500 (Eastern Standard Time),Tue Feb 15 2022 13:28:25 GMT-0500 (Eastern Standard Time),Thu Jan 13 2022 11:38:27 GMT-0500 (Eastern Standard Time),,,no,,,,,,,,,Woman-Owned Business,,,,,,,,,,,,,,,Tue Jan 04 2022 16:21:03 GMT-0500 (Eastern Standard Time),Fri Feb 18 2022 11:50:21 GMT-0500 (Eastern Standard Time),Thu May 12 2022 14:08:58 GMT-0400 (Eastern Daylight Time),,,,2/21/23,385 Atlantic Ave,N/A,Essex County,1500,,1945,Marblehead,Essex,42.635475,-70.970827,Northeast,364
Marijuana Product Manufacturer,Priority Review - MTC Priority,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,APPROVED,COMPLETE,MP281693,"HVV Massachusetts, Inc",Newburyport,MA,1950,42.801045,-70.8923,2 Opportunity Way,,Newburyport,MA,1950,POINT (-70.970827 42.635475),POINT (-70.892300 42.8010450),39 Country Club Road,,Ipswich,MA,1938,12-1234567,MPN281693,Wed Jun 12 2019 21:40:10 GMT-0400 (Eastern Daylight Time),Fri Sep 20 2019 17:35:28 GMT-0400 (Eastern Daylight Time),Fri Jun 21 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Tue Jan 28 2020 15:59:49 GMT-0500 (Eastern Standard Time),TRUE,,,,,,,,,RP201813,Not a DBE,,,,,,,,,,,,,,,Mon Jun 10 2019 10:48:55 GMT-0400 (Eastern Daylight Time),Thu Oct 03 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Nov 07 2019 13:40:37 GMT-0500 (Eastern Standard Time),Thu Jan 12 2023 03:00:00 GMT-0500 (Eastern Standard Time),Tue Feb 13 2024 03:00:00 GMT-0500 (Eastern Standard Time),,2/21/23,2 Opportunity Way,N/A,Essex County,300,10000,1950,Newburyport,Essex,42.635475,-70.970827,Northeast,366
Marijuana Cultivator,Priority Review - MTC Priority,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,APPROVED,COMPLETE,MC282198,"HVV Massachusetts, Inc.",Newburyport,MA,1950,42.801045,-70.8923,2 Opportunity Way,,Newburyport,MA,1950,POINT (-70.970827 42.635475),POINT (-70.892300 42.8010450),39 Country Club Road,,Ipswich,MA,1938,12-1234567,MCN282198,Wed Jun 12 2019 21:52:03 GMT-0400 (Eastern Daylight Time),Fri Sep 20 2019 17:36:33 GMT-0400 (Eastern Daylight Time),Mon Jun 24 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Tue Jan 28 2020 15:59:27 GMT-0500 (Eastern Standard Time),TRUE,,,,,,,,,RP201813,Not a DBE,Indoor,"Tier 04: 20,001 to 30,000 sq. ft",,,,,,,,,,,,,Mon Jun 10 2019 10:14:41 GMT-0400 (Eastern Daylight Time),Thu Oct 03 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Nov 07 2019 13:41:22 GMT-0500 (Eastern Standard Time),Thu Jan 12 2023 03:00:00 GMT-0500 (Eastern Standard Time),Tue Feb 13 2024 03:00:00 GMT-0500 (Eastern Standard Time),,2/21/23,2 Opportunity Way,N/A,Essex County,600,20000,1950,Newburyport,Essex,42.635475,-70.970827,Northeast,366
Marijuana Microbusiness,Expedited Review - DBE Status,COMMENCE OPS,COMMENCE OPS,4/21/21,APPROVED,COMPLETE,MB281332,"RiverRun Gardens, LLC",Newburyport,MA,1950,42.796172,-70.883845,50 Main St,Suite 200,North Reading,MA,1864,POINT (-70.970827 42.635475),POINT (-70.883844 42.7961719),50 Main St,Suite 200,North Reading,MA,1864,82-4311011,MBN281332,Tue May 14 2019 16:06:02 GMT-0400 (Eastern Daylight Time),Mon Dec 23 2019 15:07:07 GMT-0500 (Eastern Standard Time),Mon Oct 07 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Fri Feb 07 2020 09:38:01 GMT-0500 (Eastern Standard Time),,,,,,,,,,,Not a DBE,,,,,,,,,,,,,,Thu Sep 10 2020 04:00:00 GMT-0400 (Eastern Daylight Time),Wed Apr 18 2018 11:47:57 GMT-0400 (Eastern Daylight Time),Tue Dec 31 2019 00:00:00 GMT-0500 (Eastern Standard Time),Fri Feb 07 2020 09:28:21 GMT-0500 (Eastern Standard Time),Thu Jan 12 2023 03:00:00 GMT-0500 (Eastern Standard Time),Sun Feb 11 2024 03:00:00 GMT-0500 (Eastern Standard Time),,2/21/23,5 Perkins Way,Unit 8,Essex County,300,625,1950,Newburyport,Essex,42.635475,-70.970827,Northeast,366
Marijuana Product Manufacturer,General Applicant,COMMENCE OPS,COMMENCE OPS,11/29/22,APPROVED,COMPLETE,MP281984,"Coastal Infusions, LLC",Salisbury,MA,1952,42.856843,-70.887667,10 Fanaras Dr,,Salisbury,MA,1952,POINT (-70.970827 42.635475),POINT (-70.887666 42.8568429),"24R Pleasant St, Unit 2",,Newburyport,MA,1950,85-3618466,MPN281984,Tue Dec 08 2020 13:56:58 GMT-0500 (Eastern Standard Time),Thu Dec 17 2020 09:39:21 GMT-0500 (Eastern Standard Time),Thu Dec 10 2020 12:05:09 GMT-0500 (Eastern Standard Time),,,no,,,,,,,,,Not a DBE,,,,,,,,,,,,,,Thu Sep 15 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Thu Dec 03 2020 07:40:52 GMT-0500 (Eastern Standard Time),Thu Dec 24 2020 08:39:39 GMT-0500 (Eastern Standard Time),Thu Feb 11 2021 13:19:59 GMT-0500 (Eastern Standard Time),Thu May 12 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Sat May 13 2023 04:00:00 GMT-0400 (Eastern Daylight Time),,2/21/23,10 Fanaras Dr,N/A,Essex County,1500,10000,1952,Salisbury,Essex,42.635475,-70.970827,Northeast,368
Marijuana Cultivator,General Applicant,PROVISIONAL CONSIDERATION,PROVISIONAL CONSIDERATION,,APPROVED,PAYMENT_PENDING,MC283253,"Coastal Infusions, LLC",Salisbury,MA,1952,42.856843,-70.887667,10 Fanaras Dr,,Salisbury,MA,1952,POINT (-70.970827 42.635475),POINT (-70.887666 42.8568429),"24R Pleasant St, Unit 2",,Newburyport,MA,1950,85-3618466,MCN283253,Mon Dec 21 2020 10:35:26 GMT-0500 (Eastern Standard Time),Thu Dec 24 2020 10:42:41 GMT-0500 (Eastern Standard Time),Thu Dec 24 2020 09:29:58 GMT-0500 (Eastern Standard Time),,,no,,,,,,,,,Not a DBE,Indoor,"Tier 03: 10,001 to 20,000 sq. ft",,,,,,,,,,,,,Mon Dec 21 2020 09:35:39 GMT-0500 (Eastern Standard Time),Fri Jan 08 2021 14:55:07 GMT-0500 (Eastern Standard Time),Thu Feb 11 2021 13:18:16 GMT-0500 (Eastern Standard Time),,,,2/21/23,10 Fanaras Dr,N/A,Essex County,600,,1952,Salisbury,Essex,42.635475,-70.970827,Northeast,368
Marijuana Cultivator,General Applicant,COMMENCE OPS,COMMENCE OPS,10/17/22,APPROVED,COMPLETE,MC282530,"Salisbury Cultivation and Production Manufacturing, LLC",Salisbury,MA,1952,42.862773,-70.873645,187 Lafayette Road,,Salisbury,MA,1952,POINT (-70.970827 42.635475),POINT (-70.873644 42.8627729),PO Box 1479,,Newburyport,MA,1950,84-2801501,MCN282530,Sun Dec 22 2019 12:45:25 GMT-0500 (Eastern Standard Time),Tue Mar 31 2020 17:15:56 GMT-0400 (Eastern Daylight Time),Tue Mar 24 2020 00:00:00 GMT-0400 (Eastern Daylight Time),Tue Jul 14 2020 09:21:21 GMT-0400 (Eastern Daylight Time),,,,,,,,,,,Not a DBE,Indoor,"Tier 03: 10,001 to 20,000 sq. ft",,,,,,,,,,,,Thu Apr 07 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Thu Dec 05 2019 21:35:38 GMT-0500 (Eastern Standard Time),Wed Apr 15 2020 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Jul 09 2020 15:39:42 GMT-0400 (Eastern Daylight Time),Thu Jul 14 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Sat Aug 12 2023 04:00:00 GMT-0400 (Eastern Daylight Time),,2/21/23,187 Lafayette Rd,N/A,Essex County,600,5000,1952,Salisbury,Essex,42.635475,-70.970827,Northeast,368
Marijuana Retailer,Expedited Review - DBE Status,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,APPROVED,COMPLETE,MR282740,"Ganesh Wellness, Inc.",Salisbury,MA,1952,42.865563,-70.873185,47 High Street,Suite 432,Medford,MA,2155,POINT (-70.970827 42.635475),POINT (-70.873185 42.8655630),62 Church Hill Rd,,Newtown,CT,6470,82-4520628,MRN282740,Thu Jun 06 2019 20:03:58 GMT-0400 (Eastern Daylight Time),Tue May 26 2020 16:47:35 GMT-0400 (Eastern Daylight Time),Wed Dec 11 2019 00:00:00 GMT-0500 (Eastern Standard Time),,,,,,,,,,,,Minority-Owned Business | Woman-Owned Business,,,,,,,,,,,,,,,Mon May 27 2019 15:00:22 GMT-0400 (Eastern Daylight Time),Thu Jun 11 2020 14:11:31 GMT-0400 (Eastern Daylight Time),Thu Aug 06 2020 13:55:29 GMT-0400 (Eastern Daylight Time),Thu Aug 11 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Fri Aug 18 2023 04:00:00 GMT-0400 (Eastern Daylight Time),,2/21/23,191 Lafayette Rd,N/A,Essex County,300,10000,1952,Salisbury,Essex,42.635475,-70.970827,Northeast,368
Marijuana Retailer,Priority Review - MTC Priority,COMMENCE OPS,COMMENCE OPS,8/29/19,APPROVED,COMPLETE,MR281344,"Alternative Therapies Group, Inc.",Salisbury,MA,1952,42.843722,-70.879138,"24R Pleasant St, Unit 2",,Newburyport,MA,1950,POINT (-70.970827 42.635475),POINT (-70.879137 42.843722),"24R Pleasant St, Unit 2",,Newburyport,MA,1950,46-2086314,MRN281344,Tue Aug 14 2018 17:26:39 GMT-0400 (Eastern Daylight Time),Thu Aug 30 2018 10:34:12 GMT-0400 (Eastern Daylight Time),Tue Aug 28 2018 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Sep 20 2018 18:24:06 GMT-0400 (Eastern Daylight Time),TRUE,,,,,,,APPROVED,RP201825,RPA201825,Not a DBE,,,,,,,,,,,,,,Wed Jul 17 2019 04:00:00 GMT-0400 (Eastern Daylight Time),Fri Apr 27 2018 15:03:19 GMT-0400 (Eastern Daylight Time),Thu Aug 30 2018 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Sep 20 2018 16:00:06 GMT-0400 (Eastern Daylight Time),Thu Sep 15 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Sun Sep 24 2023 04:00:00 GMT-0400 (Eastern Daylight Time),,2/21/23,107 Elm St,N/A,Essex County,300,5000,1952,Salisbury,Essex,42.635475,-70.970827,Northeast,368
Marijuana Product Manufacturer,General Applicant,COMMENCE OPS,COMMENCE OPS,6/7/22,APPROVED,COMPLETE,MP281819,"Salisbury Cultivation and Production Manufacturing, LLC",Salisbury,MA,1952,42.862773,-70.873645,187 Lafayette Road,,Salisbury,MA,1952,POINT (-70.970827 42.635475),POINT (-70.873644 42.8627729),PO Box 1479,,Newburyport,MA,1950,84-2801501,MPN281819,Sun Dec 22 2019 12:38:38 GMT-0500 (Eastern Standard Time),Tue Mar 31 2020 17:29:23 GMT-0400 (Eastern Daylight Time),Mon Mar 23 2020 00:00:00 GMT-0400 (Eastern Daylight Time),Tue Jul 14 2020 09:25:11 GMT-0400 (Eastern Daylight Time),,,,,,,,,,,Not a DBE,,,,,,,,,,,,,,Thu Apr 07 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Sat Dec 21 2019 21:43:10 GMT-0500 (Eastern Standard Time),Wed Apr 15 2020 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Jul 09 2020 15:40:34 GMT-0400 (Eastern Daylight Time),Thu Jul 14 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Sat Aug 12 2023 04:00:00 GMT-0400 (Eastern Daylight Time),,2/21/23,187 Lafayette Rd,N/A,Essex County,1500,10000,1952,Salisbury,Essex,42.635475,-70.970827,Northeast,368
Marijuana Product Manufacturer,General Applicant,FINAL LICENSE,FINAL LICENSE,,APPROVED,COMPLETE,MP281488,Morando Brands LLC,Rowley,MA,1969,42.714604,-70.905926,319 Newburyport Turnpike STE 002 & 003,,Rowley,MA,1969,POINT (-70.970827 42.635475),POINT (-70.905925 42.7146040),87 Main Street,,North Reading,MA,1864,47-3492111,MPN281488,Wed Jul 24 2019 18:55:17 GMT-0400 (Eastern Daylight Time),Tue Dec 14 2021 09:53:43 GMT-0500 (Eastern Standard Time),Wed Feb 05 2020 00:00:00 GMT-0500 (Eastern Standard Time),Fri Feb 18 2022 15:02:32 GMT-0500 (Eastern Standard Time),,no,,,,,,,,,Not a DBE,,,,,,,,,,,,,,Thu Nov 10 2022 03:00:00 GMT-0500 (Eastern Standard Time),Tue Sep 18 2018 16:39:14 GMT-0400 (Eastern Daylight Time),Fri Dec 17 2021 10:01:52 GMT-0500 (Eastern Standard Time),Mon Feb 14 2022 16:21:57 GMT-0500 (Eastern Standard Time),Fri Feb 18 2022 03:00:00 GMT-0500 (Eastern Standard Time),Fri Mar 10 2023 03:00:00 GMT-0500 (Eastern Standard Time),,2/21/23,319 Newburyport Turnpike,N/A,Essex County,300,10000,1969,Rowley,Essex,42.635475,-70.970827,Northeast,373
Marijuana Retailer,Priority Review - MTC Priority,COMMENCE OPS,COMMENCE OPS,6/12/20,APPROVED,COMPLETE,MR281571,"Ipswich Pharmaceutical Associates, Inc.",Rowley,MA,1969,42.700871,-70.911296,116 Newburyport Turnpike,,Rowley,MA,1969,POINT (-70.970827 42.635475),POINT (-70.911295 42.7008709),53 Town Farm Road,,Ipswich,MA,1938,90-1007354,MRN281571,Wed Oct 10 2018 16:12:08 GMT-0400 (Eastern Daylight Time),Fri May 24 2019 15:40:47 GMT-0400 (Eastern Daylight Time),Tue Oct 16 2018 00:00:00 GMT-0400 (Eastern Daylight Time),Tue Aug 20 2019 12:24:52 GMT-0400 (Eastern Daylight Time),TRUE,,,,,,,APPROVED,RP201928,RPA201928,Disability-Owned Business | Veteran-Owned Business,,,,,,,,,,,,,,Thu Feb 06 2020 03:00:00 GMT-0500 (Eastern Standard Time),Fri Jun 08 2018 15:47:52 GMT-0400 (Eastern Daylight Time),Fri Jun 07 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Fri Aug 09 2019 11:40:42 GMT-0400 (Eastern Daylight Time),Thu Oct 13 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Sat Oct 21 2023 04:00:00 GMT-0400 (Eastern Daylight Time),,2/21/23,116 Newburyport Turnpike,N/A,Essex County,300,5000,1969,Rowley,Essex,42.635475,-70.970827,Northeast,373
Marijuana Retailer,Priority Review - MTC Priority,COMMENCE OPS,COMMENCE OPS,8/11/21,APPROVED,COMPLETE,MR282049,"Nature's Remedy of Massachusetts, Inc.",Rowley,MA,1969,42.716155,-70.892754,264 Newburyport Turnpike,,Rowley,MA,1969,POINT (-70.970827 42.635475),POINT (-70.892753 42.7161550),110 Turnpike Road Suite 114,,Westborough,MA,1851,82-0797573,MRN282049,Mon Nov 19 2018 21:21:20 GMT-0500 (Eastern Standard Time),Wed Jan 16 2019 16:33:31 GMT-0500 (Eastern Standard Time),Tue Dec 11 2018 00:00:00 GMT-0500 (Eastern Standard Time),Fri May 10 2019 13:40:43 GMT-0400 (Eastern Daylight Time),TRUE,,,,,,,,,RPA201923,Not a DBE,,,,,,,,,,,,,,Thu Feb 11 2021 03:00:00 GMT-0500 (Eastern Standard Time),Wed Nov 14 2018 11:09:33 GMT-0500 (Eastern Standard Time),Thu Feb 14 2019 00:00:00 GMT-0500 (Eastern Standard Time),Mon Apr 29 2019 11:53:48 GMT-0400 (Eastern Daylight Time),Thu May 12 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Sat May 13 2023 04:00:00 GMT-0400 (Eastern Daylight Time),,2/21/23,,N/A,Essex County,300,5000,1969,Rowley,Essex,42.635475,-70.970827,Northeast,373
Marijuana Retailer,Priority Review - MTC Priority,COMMENCE OPS,COMMENCE OPS,6/12/20,APPROVED,COMPLETE,MR282588,"Old Planters of Cape Ann, Inc.",Rowley,MA,1969,42.713078,-70.907708,7 Jewett Hill Road,,Ipswich,MA,1938,POINT (-70.970827 42.635475),POINT (-70.907708 42.7130780),7 Jewett Hill Road,,Ipswich,MA,1938,81-1421538,MRN282588,Wed May 15 2019 01:00:33 GMT-0400 (Eastern Daylight Time),Thu Aug 15 2019 23:26:16 GMT-0400 (Eastern Daylight Time),Fri Jun 14 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Mon Jan 27 2020 15:25:45 GMT-0500 (Eastern Standard Time),TRUE,,,,,,,APPROVED,RP201971,RP201971,Not a DBE,,,,,,,,,,,,,,Thu Apr 09 2020 04:00:00 GMT-0400 (Eastern Daylight Time),Mon Apr 08 2019 19:46:14 GMT-0400 (Eastern Daylight Time),Thu Sep 05 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Nov 07 2019 13:44:25 GMT-0500 (Eastern Standard Time),Thu May 12 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Sat May 13 2023 04:00:00 GMT-0400 (Eastern Daylight Time),,2/21/23,300 Newburyport Turnpike,N/A,Essex County,300,10000,1969,Rowley,Essex,42.635475,-70.970827,Northeast,373
Marijuana Microbusiness,Expedited Review - License Type,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,APPROVED,COMPLETE,MB282389,Farma Gardens LLC,Rowley,MA,1969,42.723192,-70.885631,118 Central Street,,Rowley,MA,1969,POINT (-70.970827 42.635475),POINT (-70.885631 42.7231919),118 Central Street,,Rowley,MA,1969,87-3309593,MBN282389,Mon Mar 21 2022 16:43:16 GMT-0400 (Eastern Daylight Time),Wed Apr 13 2022 18:22:18 GMT-0400 (Eastern Daylight Time),Fri Mar 25 2022 15:37:04 GMT-0400 (Eastern Daylight Time),Wed Aug 17 2022 16:07:49 GMT-0400 (Eastern Daylight Time),,no,,,,,,,,,Not a DBE,,,,,,,,,,,,,,,Wed Mar 09 2022 09:40:05 GMT-0500 (Eastern Standard Time),Fri May 06 2022 08:05:03 GMT-0400 (Eastern Daylight Time),Thu Jul 14 2022 12:03:50 GMT-0400 (Eastern Daylight Time),Wed Aug 17 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Thu Aug 17 2023 04:00:00 GMT-0400 (Eastern Daylight Time),,2/21/23,118 Central St,N/A,Essex County,,312.5,1969,Rowley,Essex,42.635475,-70.970827,Northeast,373
